,season,first_name,last_name,position,origin,destination,transfer_date,rating,stars,eligibility
1914,2022,Jordan,Hornbeak,RB,Fresno State,Northern Colorado,2022-04-29T22:18:00.000Z,,3.0,Immediate
1915,2022,Aaron,McLaughlin,QB,NC State,Jacksonville State,2022-02-18T16:55:00.000Z,0.85,3.0,Immediate
1916,2022,Ryan,Peppins,WR,Utah,,2022-04-15T18:38:00.000Z,,3.0,Immediate
1917,2022,Kolby,White,WR,Baylor,,2021-12-16T20:23:00.000Z,,,Immediate
1918,2022,Frederik,Antoine,WR,Old Dominion,,2022-02-03T16:13:00.000Z,,2.0,Immediate
1919,2022,Kajuan,Robinson,DL,Memphis,,2022-01-18T15:50:00.000Z,0.83,3.0,Immediate
1920,2022,Jessie,Parson III,WR,Rutgers,,2021-11-01T20:19:00.000Z,,3.0,Immediate
1921,2022,Eldrick,Robinson II,LB,Georgia Southern,Wake Forest,2022-02-25T17:18:00.000Z,,2.0,Immediate
1922,2022,Ezra,Dotson-Oyetade,IOL,Arizona State,TCU,2022-04-29T17:19:00.000Z,0.88,3.0,Immediate
1923,2022,Braedon,Wissler,RB,Utah,,2022-04-28T14:22:00.000Z,,2.0,Immediate
1924,2022,Cameron,Williams,EDGE,Miami,,2022-04-29T14:17:00.000Z,,3.0,Immediate
1925,2022,Pedro,Timoteo,OT,Fresno State,Portland State,2022-05-04T15:39:00.000Z,,,Immediate
1926,2022,Parker,Rickert,WR,Iowa State,,2022-04-26T20:30:00.000Z,,2.0,Immediate
1927,2022,Ray,Embry,TE,East Central,Buffalo,2022-04-06T19:17:00.000Z,,,Immediate
1928,2022,Ricky,Pearsall,WR,Arizona State,Florida,2022-04-21T17:27:00.000Z,0.89,3.0,Immediate
1929,2022,Isaiah,Land,EDGE,Florida A&M,Florida A&M,2022-05-01T15:46:00.000Z,,,Immediate
1930,2022,Kenny,Bennett,CB,Maryland,Georgia Tech,2022-04-30T19:07:00.000Z,,3.0,Immediate
1931,2022,Camden,Price,K,Miami,Temple,2022-01-06T23:57:00.000Z,,,Immediate
1932,2022,Marcus,Hooker,S,Ohio State,Youngstown State,2022-04-26T18:39:00.000Z,,3.0,Immediate
1933,2022,Eric,Reed,CB,Auburn,Georgia Tech,2022-03-28T18:52:00.000Z,0.86,3.0,Immediate
1934,2022,Alex,Zayed,LB,Louisiana Tech,,2021-08-26T20:55:00.000Z,,2.0,Immediate
1935,2022,Raiqwon,O'Neal,OT,Rutgers,UCLA,2022-01-20T19:37:00.000Z,0.89,3.0,Immediate
1936,2022,Chris,Akporoghene,IOL,Tennessee,Tulsa,2022-01-24T16:27:00.000Z,0.87,3.0,Immediate
1937,2022,Donavann,Collins,CB,TCU,,2021-12-14T20:29:00.000Z,0.85,3.0,Immediate
1938,2022,Eric,Randall,S,Memphis,,2022-03-24T16:33:00.000Z,,3.0,Immediate
1939,2022,Kyle,Helbig,TE,Colorado State,,2021-09-08T17:04:00.000Z,0.8,3.0,Immediate
1940,2022,Caden,Clark,TE,Alabama,Akron,2022-04-07T19:35:00.000Z,,3.0,Immediate
1941,2022,Jaylen,Rivers,ATH,Northwestern,,2021-11-29T18:32:00.000Z,0.8,3.0,Immediate
1942,2022,Akheem,Mesidor,DL,West Virginia,Miami,2022-03-31T18:26:00.000Z,0.92,4.0,Immediate
1943,2022,Matthew,Duncan,QB,Temple,Trinity Valley C.C.,2022-04-22T00:47:00.000Z,,3.0,Immediate
1944,2022,Dylan,Walker,TE,Colorado State,,2021-12-21T20:54:00.000Z,,3.0,Immediate
1945,2022,Jojuan,Claiborne,CB,Nevada,,2021-12-29T17:29:00.000Z,,2.0,Immediate
1946,2022,Jamel,Thomas,WR,South Alabama,,2021-10-27T18:19:00.000Z,0.79,2.0,Immediate
1947,2022,Avarius,Sparrow,RB,West Virginia,Middle Tennessee,2021-10-30T03:48:00.000Z,0.8,3.0,Immediate
1948,2022,Gaberiel,Fuster,LB,Liberty,,2021-10-14T19:04:00.000Z,,3.0,Immediate
1949,2022,Patrick,Jolly,CB,UCLA,Abilene Christian,2022-03-21T18:00:00.000Z,,3.0,Immediate
1950,2022,Maurice,Freeman,S,Indiana,Liberty,2022-04-21T20:01:00.000Z,,3.0,Immediate
1951,2022,Cooper,Darling,IOL,Oregon State,,2022-03-30T14:55:00.000Z,,3.0,Immediate
1952,2022,Gabriel,Murphy,EDGE,North Texas,UCLA,2022-01-27T20:53:00.000Z,0.89,3.0,Immediate
1953,2022,Mari,Wingard,CB,Elon,Georgia Southern,2021-11-26T12:22:00.000Z,,,Immediate
1954,2022,Matt,Landers,WR,Toledo,Arkansas,2022-05-03T13:53:00.000Z,0.88,3.0,Immediate
1955,2022,Rico,Powers,WR,South Carolina,Jackson State,2022-04-20T19:13:00.000Z,,4.0,Immediate
1956,2022,Marshall,Gill,IOL,VMI,New Mexico,2021-11-22T20:53:00.000Z,,,Immediate
1957,2022,Dmitri,Emmanuel,IOL,Charlotte,Florida State,2022-05-02T21:00:00.000Z,0.86,3.0,Immediate
1958,2022,Alex,Bales,K,Cincinnati,,2022-03-09T16:23:00.000Z,,,Immediate
1959,2022,Joey,Yellen,QB,Pittsburgh,Hawai'i,2022-04-29T20:28:00.000Z,,4.0,Immediate
1960,2022,Myron,Warren,DL,Texas,Texas State,2022-04-26T05:00:00.000Z,,4.0,Immediate
1961,2022,Corey,Robinson II,OT,Kansas,Georgia Tech,2022-04-15T16:56:00.000Z,,3.0,Immediate
1962,2022,AJ,Davis,WR,UAB,,2022-05-20T16:05:00.000Z,,3.0,Immediate
1963,2022,Sione,Veikoso,IOL,Arizona State,,2022-05-03T18:41:00.000Z,,2.0,Immediate
1964,2022,Stacy,Brown,S,Missouri,,2022-04-30T19:43:00.000Z,,3.0,Immediate
1965,2022,Isaiah,Wright,IOL,Rutgers,Buffalo,2022-05-02T18:54:00.000Z,,3.0,Immediate
1966,2022,Andre,Turrentine,CB,Ohio State,Tennessee,2022-04-25T15:48:00.000Z,0.87,3.0,Immediate
1967,2022,Izaiah,Kelley,OLB,SMU,Abilene Christian,2022-06-16T03:16:00.000Z,,3.0,Immediate
